,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Sioux Lookout,75,CA,1553724000,61,50.1,-91.92,48.2,21.92
376,Kibiti,8,TZ,1553725526,96,-7.72,38.94,74.4,2.24
377,Charters Towers,76,AU,1553725526,91,-20.07,146.27,74.49,8.05
378,Flin Flon,90,CA,1553725080,50,54.77,-101.88,33.8,14.99
379,Sydney,75,AU,1553725225,68,-33.85,151.22,71.01,6.93
380,Campbell River,20,CA,1553725004,30,50.02,-125.24,61.0,2.35
381,General Cepeda,75,MX,1553724058,55,25.38,-101.48,72.0,17.22
382,Sylacauga,90,US,1553725326,28,33.17,-86.25,73.0,3.36
383,Malanje,12,AO,1553725528,89,-9.54,16.35,70.71,2.35
384,Puerto Baquerizo Moreno,20,EC,1553724000,66,-0.9,-89.6,86.0,13.87
385,Riyadh,0,SA,1553724000,30,24.63,46.72,68.0,8.05
386,Honolulu,20,US,1553725390,61,21.3,-157.86,80.01,9.17
387,Ahipara,92,NZ,1553725529,96,-35.17,173.16,66.93,6.82
388,Yarovoye,0,RU,1553725529,72,52.92,78.56,20.67,3.13
389,Beringovskiy,20,RU,1553725529,84,63.05,179.32,24.81,5.93
390,Kantang,20,TH,1553720400,94,7.42,99.52,77.0,5.7
391,Shimoda,20,JP,1553724786,51,34.7,138.93,55.0,1.99
392,Iwaki,75,JP,1553725206,81,37.05,140.89,48.0,11.41
393,Mayskiy,90,RU,1553724000,57,43.63,44.06,48.2,2.24
394,Hualmay,36,PE,1553725530,71,-11.1,-77.61,75.66,4.7
395,Banda Aceh,24,ID,1553725502,99,5.56,95.32,75.66,2.35
396,Ancud,0,CL,1553724000,67,-41.87,-73.83,60.8,8.05
397,Alofi,75,NU,1553724000,83,-19.06,-169.92,82.4,8.05
398,Sitka,0,US,1553724907,49,37.17,-99.65,78.01,15.01
399,Srednekolymsk,64,RU,1553725532,72,67.46,153.71,0.87,5.93
400,Acurenam,12,GA,1553725532,89,1.03,10.67,74.67,2.13
401,Waingapu,68,ID,1553725532,99,-9.65,120.26,73.32,3.24
402,Umm Lajj,0,SA,1553725533,100,25.02,37.27,59.91,7.05
403,Chernyshevskiy,68,RU,1553725533,79,63.01,112.47,14.82,2.46
404,Waddan,92,LY,1553725533,23,29.16,16.14,76.29,11.63
405,Miyako,75,JP,1553725425,72,33.63,130.94,59.0,16.11
406,Calatayud,0,ES,1553724984,30,41.35,-1.64,51.8,2.24
407,Egvekinot,80,RU,1553725534,89,66.32,-179.17,21.39,8.95
408,Ouahigouya,76,BF,1553725534,29,13.58,-2.42,92.04,8.28
409,Medina,0,SA,1553724000,15,24.47,39.61,66.2,6.93
410,Derzhavinsk,0,KZ,1553725535,83,51.1,66.31,29.49,17.45
411,Sijunjung,92,ID,1553725535,96,-0.69,100.95,70.62,2.35
412,Barguzin,36,RU,1553725535,74,53.62,109.63,3.12,0.78
413,Rio Verde de Mato Grosso,24,BR,1553725536,30,-18.92,-54.84,93.57,10.63
414,Fagersta,0,SE,1553725506,86,60.0,15.79,36.0,4.7
415,Vikhorevka,8,RU,1553724000,58,56.12,101.17,26.6,4.47
416,Venustiano Carranza,40,MX,1553725342,8,19.42,-99.11,84.2,16.11
417,Pacasmayo,12,PE,1553725537,89,-7.4,-79.57,70.26,14.88
418,Alegrete,24,BR,1553725537,47,-29.79,-55.79,77.82,15.21
419,Vestmannaeyjar,88,IS,1553725537,88,63.44,-20.27,39.12,27.18
420,Acapulco,5,MX,1553722980,70,16.86,-99.88,86.0,5.82
421,Progreso,0,UY,1553724985,59,-34.68,-56.22,66.99,13.87
422,Narsaq,20,GL,1553723400,61,60.91,-46.05,14.0,2.24
423,Trelleborg,75,SE,1553725410,93,55.38,13.15,48.0,6.93
424,Jacareacanga,24,BR,1553725539,61,-6.22,-57.76,89.88,2.24
425,Havelock,1,US,1553725362,54,34.88,-76.9,57.2,13.87
426,Catuday,0,PH,1553725539,95,16.29,119.81,77.55,7.72
427,Takoradi,24,GH,1553725539,97,4.89,-1.75,82.5,7.16
428,Ola,0,RU,1553725540,98,59.58,151.3,11.94,11.86
429,San Cristobal,75,EC,1553724941,68,-0.39,-78.55,68.0,13.87
430,Nichinan,75,JP,1553724145,100,31.65,131.31,55.4,4.7
431,Plouzane,0,FR,1553725386,86,48.38,-4.62,46.0,6.93
432,Fayaoue,0,NC,1553725541,100,-20.65,166.53,80.52,20.13
433,Krasnogorsk,90,RU,1553724833,86,55.82,37.34,32.0,8.95
434,Puerto del Rosario,40,ES,1553724000,72,28.5,-13.86,66.2,8.05
435,Cabedelo,75,BR,1553724600,83,-6.97,-34.84,78.8,14.99
436,Kuopio,0,FI,1553723400,85,62.89,27.68,32.0,4.7
437,Nikolsk,8,RU,1553725543,88,59.53,45.45,22.74,2.57
438,Luanda,40,AO,1553724000,88,-8.83,13.24,80.6,11.41
439,Orcopampa,88,PE,1553725543,100,-15.27,-72.34,40.56,2.57
440,Kloulklubed,75,PW,1553723400,78,7.04,134.26,80.6,11.41
441,Vigrestad,90,NO,1553725460,100,58.57,5.7,44.6,2.24
442,Mercedes,0,UY,1553725544,61,-33.25,-58.03,72.69,9.73
443,Bilibino,88,RU,1553725544,78,68.06,166.44,7.53,3.24
444,Guerrero Negro,56,MX,1553725545,54,27.97,-114.04,68.91,11.97
445,Vao,32,EE,1553725545,81,59.1,26.19,24.0,5.93
446,Muli,20,IN,1553725545,43,22.62,71.45,73.59,3.13
447,Rawson,0,AR,1553725546,29,-43.3,-65.11,77.46,21.92
448,Caravelas,44,BR,1553725546,99,-17.73,-39.27,82.95,16.22
449,Mahebourg,40,MU,1553725445,83,-20.41,57.7,80.6,8.05
450,Aykhal,76,RU,1553725546,77,65.95,111.51,14.82,2.68
451,Arona,0,IT,1553725542,64,45.76,8.56,53.01,3.36
452,Mount Pleasant,1,US,1553725272,37,33.16,-94.97,75.0,6.93
453,Northam,0,GB,1553725521,87,51.04,-4.21,48.0,4.7
454,Pangai,90,TO,1553724000,83,-19.8,-174.35,80.6,10.29
455,Iberia,36,PE,1553725549,81,-11.41,-69.49,78.72,4.14
456,Los Llanos de Aridane,40,ES,1553725262,77,28.66,-17.92,62.6,5.82
457,Coolum Beach,92,AU,1553725535,89,-26.53,153.09,73.99,7.05
458,Rosetta,40,EG,1553720400,77,31.4,30.42,60.8,5.82
459,Rio Grande,75,BR,1553723100,68,-32.03,-52.1,69.8,10.29
460,Lluta,75,PE,1553724000,55,-16.02,-72.01,60.8,9.17
461,Nouadhibou,0,MR,1553720400,77,20.93,-17.03,68.0,11.41
462,Yamada,75,JP,1553725309,93,36.58,137.08,43.0,2.24
463,Conde,80,BR,1553725551,86,-11.81,-37.61,81.6,9.4
464,Baykit,0,RU,1553725551,66,61.68,96.39,7.08,2.57
465,Tagusao,44,PH,1553725551,98,9.19,117.81,76.83,3.02
466,Port Moresby,20,PG,1553724000,88,-9.47,147.16,78.8,5.82
467,Salinas,90,US,1553725542,100,36.67,-121.66,64.99,5.82
468,Impfondo,68,CD,1553725552,76,1.62,18.06,79.17,3.58
469,Belle Fourche,1,US,1553725507,34,44.67,-103.85,57.0,6.93
470,Saint-Gabriel,1,CA,1553725463,47,46.3,-73.38,39.0,17.22
471,Matagami,0,NG,1553725553,27,9.67,8.4,77.1,6.82
472,Shenjiamen,100,CN,1553725554,95,29.96,122.3,56.49,5.03
473,Bojnurd,0,IR,1553724000,93,37.47,57.33,37.4,2.91
474,Morristown,1,US,1553725273,38,36.21,-83.29,64.99,8.05
475,Helong,20,CN,1553725555,92,25.94,116.13,63.78,5.14
476,Brae,92,GB,1553723400,93,60.4,-1.35,48.2,26.4
477,Ucluelet,20,CA,1553724925,31,48.94,-125.55,60.8,6.93
478,Chippenham,20,GB,1553725518,80,51.46,-2.12,48.0,7.38
479,Chokurdakh,12,RU,1553725556,68,70.62,147.9,-15.25,9.95
480,Port-Gentil,40,GA,1553724000,89,-0.72,8.78,84.2,4.7
481,Mao,40,DO,1553725546,74,19.55,-71.08,84.0,9.17
482,Zhangye,0,CN,1553725556,68,38.94,100.46,30.75,7.61
483,Sao Joao da Barra,0,BR,1553724000,78,-21.64,-41.05,78.8,11.41
484,Homer,20,US,1553725202,70,59.64,-151.54,48.0,5.82
485,Sayanogorsk,92,RU,1553725557,74,53.09,91.41,30.48,3.58
486,Tongliao,0,CN,1553725557,31,43.61,122.27,22.74,8.5
487,Itanhaem,75,BR,1553724000,82,-24.18,-46.79,75.2,17.22
488,Hirado,75,JP,1553725555,100,33.32,129.49,57.99,12.75
489,Tucumcari,1,US,1553725216,21,35.17,-103.73,82.4,16.11
490,Dori,92,BF,1553725558,26,14.03,-0.03,84.21,6.49
491,Henties Bay,100,NA,1553724130,93,-22.12,14.28,62.01,5.01
492,Merrill,1,US,1553725518,66,42.03,-121.6,48.99,19.46
493,Lata,12,IN,1553725559,70,30.78,78.62,46.23,2.57
494,Placido de Castro,56,BR,1553725500,86,-10.34,-67.19,79.44,3.91
495,Quatre Cocos,40,MU,1553725445,83,-20.21,57.76,80.6,8.05
496,Castellarano,0,IT,1553725500,61,44.51,10.73,50.0,3.36
497,Alta Floresta,40,BR,1553720400,94,-9.87,-56.08,77.0,3.36
498,Grand Gaube,40,MU,1553725445,83,-20.01,57.66,80.6,8.05
499,Bom Jardim,20,BR,1553724000,88,-7.8,-35.59,75.2,10.29
500,Mokrousovo,24,RU,1553725561,74,55.81,66.77,24.9,5.37
501,Kuzhener,92,RU,1553725561,98,56.81,48.92,32.19,5.93
502,Baracoa,12,CU,1553725562,98,20.35,-74.5,78.09,6.15
503,Mnisek pod Brdy,75,CZ,1553725561,75,49.87,14.26,46.99,6.93
504,Jasdan,8,IN,1553725476,46,22.04,71.2,82.99,6.26
505,Chicama,75,PE,1553724000,78,-7.84,-79.15,73.4,9.17
506,Aleksin,12,RU,1553724000,79,54.5,37.07,26.6,8.95
507,Balaghat,0,IN,1553725563,46,21.81,80.19,67.74,3.91
508,Stephenville,1,US,1553725512,36,32.22,-98.2,77.0,16.11
509,Hermosillo,36,MX,1553725340,11,29.09,-110.96,91.0,4.0
510,Bud,75,NO,1553725027,87,62.91,6.91,50.0,4.7
511,College,90,US,1553725553,89,64.86,-147.8,41.0,5.59
512,Cheyenne,1,US,1553725294,17,41.14,-104.82,70.0,10.29
513,Chara,90,GR,1553725412,81,39.42,22.43,53.01,6.93
514,Yunguyo,24,PE,1553725565,88,-16.24,-69.09,55.59,10.96
515,Ayan,68,TR,1553725565,86,40.67,33.6,30.3,2.35
516,Borovoy,92,RU,1553725565,94,63.23,52.89,31.83,7.49
517,Kuandian,0,CN,1553725566,62,40.73,124.78,20.4,3.69
518,Dunedin,24,NZ,1553725313,82,-45.87,170.5,49.92,4.14
519,Kidal,32,ML,1553725566,21,18.44,1.41,78.09,4.92
520,Keetmanshoop,0,NA,1553724000,14,-26.57,18.15,80.6,11.41
521,Te Anau,0,NZ,1553725567,86,-45.41,167.72,45.24,2.13
